location_id,process_id,date,poll,timezone,unit,source,value
2+26,station_day_mad,2018-12-09,pm10,Asia/Shanghai,µg/m3,mee,151.54132756181315
2+26,station_day_mad,2018-12-09,pm25,Asia/Shanghai,µg/m3,mee,93.87245279293471
2+26,station_day_mad,2018-12-10,pm10,Asia/Shanghai,µg/m3,mee,124.09712586908911
2+26,station_day_mad,2018-12-10,pm25,Asia/Shanghai,µg/m3,mee,75.11998618123138
2+26,station_day_mad,2018-12-11,pm10,Asia/Shanghai,µg/m3,mee,122.28410073911105
2+26,station_day_mad,2018-12-11,pm25,Asia/Shanghai,µg/m3,mee,67.3272661907268
2+26,station_day_mad,2018-12-12,pm10,Asia/Shanghai,µg/m3,mee,124.64385534852275
2+26,station_day_mad,2018-12-12,pm25,Asia/Shanghai,µg/m3,mee,75.28496061962335
2+26,station_day_mad,2018-12-13,pm10,Asia/Shanghai,µg/m3,mee,124.32811634124778
2+26,station_day_mad,2018-12-13,pm25,Asia/Shanghai,µg/m3,mee,75.31868772901562
2+26,station_day_mad,2018-12-14,pm10,Asia/Shanghai,µg/m3,mee,171.6111209987389
2+26,station_day_mad,2018-12-14,pm25,Asia/Shanghai,µg/m3,mee,117.61554825808669
2+26,station_day_mad,2018-12-15,pm10,Asia/Shanghai,µg/m3,mee,180.99488647978288
2+26,station_day_mad,2018-12-15,pm25,Asia/Shanghai,µg/m3,mee,111.37111031995143
2+26,station_day_mad,2018-12-16,pm10,Asia/Shanghai,µg/m3,mee,111.23190520552112
2+26,station_day_mad,2018-12-16,pm25,Asia/Shanghai,µg/m3,mee,52.79136311953137
2+26,station_day_mad,2018-12-17,pm10,Asia/Shanghai,µg/m3,mee,127.45486037718052
2+26,station_day_mad,2018-12-17,pm25,Asia/Shanghai,µg/m3,mee,67.89922022909954
2+26,station_day_mad,2018-12-18,pm10,Asia/Shanghai,µg/m3,mee,172.5028624502414
2+26,station_day_mad,2018-12-18,pm25,Asia/Shanghai,µg/m3,mee,103.7877599120772
2+26,station_day_mad,2018-12-19,pm10,Asia/Shanghai,µg/m3,mee,182.18337032701106
2+26,station_day_mad,2018-12-19,pm25,Asia/Shanghai,µg/m3,mee,116.7646154110906
2+26,station_day_mad,2018-12-20,pm10,Asia/Shanghai,µg/m3,mee,186.4119871243952
2+26,station_day_mad,2018-12-20,pm25,Asia/Shanghai,µg/m3,mee,123.53633514157411
2+26,station_day_mad,2018-12-26,pm10,Asia/Shanghai,µg/m3,mee,83.37773109243697
2+26,station_day_mad,2018-12-26,pm25,Asia/Shanghai,µg/m3,mee,32.968714985994396
2+26,station_day_mad,2018-12-27,pm10,Asia/Shanghai,µg/m3,mee,64.55948909266101
2+26,station_day_mad,2018-12-27,pm25,Asia/Shanghai,µg/m3,mee,27.17749558251981
2+26,station_day_mad,2018-12-28,pm10,Asia/Shanghai,µg/m3,mee,83.6492002395662
2+26,station_day_mad,2018-12-28,pm25,Asia/Shanghai,µg/m3,mee,44.91097799913253
2+26,station_day_mad,2018-12-29,pm10,Asia/Shanghai,µg/m3,mee,92.81022987126725
2+26,station_day_mad,2018-12-29,pm25,Asia/Shanghai,µg/m3,mee,53.79943480700727
2+26,station_day_mad,2018-12-30,pm10,Asia/Shanghai,µg/m3,mee,109.37555390675219
2+26,station_day_mad,2018-12-30,pm25,Asia/Shanghai,µg/m3,mee,69.04592025224555
2+26,station_day_mad,2018-12-31,pm10,Asia/Shanghai,µg/m3,mee,145.0799717877172
2+26,station_day_mad,2018-12-31,pm25,Asia/Shanghai,µg/m3,mee,97.81933224940825
2+26,station_day_mad,2019-01-01,pm10,Asia/Shanghai,µg/m3,mee,180.41558045391702
2+26,station_day_mad,2019-01-01,pm25,Asia/Shanghai,µg/m3,mee,125.99706928643496
2+26,station_day_mad,2019-01-02,pm10,Asia/Shanghai,µg/m3,mee,221.2288991631325
2+26,station_day_mad,2019-01-02,pm25,Asia/Shanghai,µg/m3,mee,162.09052349852328
2+26,station_day_mad,2019-01-03,pm10,Asia/Shanghai,µg/m3,mee,219.12538988575935
2+26,station_day_mad,2019-01-03,pm25,Asia/Shanghai,µg/m3,mee,159.76555166066817
2+26,station_day_mad,2019-01-04,pm10,Asia/Shanghai,µg/m3,mee,139.3128996640184
2+26,station_day_mad,2019-01-04,pm25,Asia/Shanghai,µg/m3,mee,92.47074496187768
2+26,station_day_mad,2019-01-05,pm10,Asia/Shanghai,µg/m3,mee,168.04766096975226
2+26,station_day_mad,2019-01-05,pm25,Asia/Shanghai,µg/m3,mee,113.63174207844307
2+26,station_day_mad,2019-01-06,pm10,Asia/Shanghai,µg/m3,mee,212.8694438735639
