CityMEE,keyRegionZH,PM25_target,Heavy_Pollution_Target,target_period,base_period,CityZH,CityEN,Province,base_PM25,keyRegion2018,2019Q4,2019Q1
泰州市,长三角地区,0,,2020Q4,2019Q4,泰州,Taizhou,Jiangsu,44,YRD,44,63.66666667
宿迁市,长三角地区,57,,2020Q4,2019Q4,宿迁,Suqian,Jiangsu,58.33333333,YRD,58.33333333,73.66666667
杭州市,长三角地区,0,,2020Q4,2019Q4,杭州,Hangzhou,Zhejiang,42.66666667,YRD,42.66666667,51
宁波市,长三角地区,,,2020Q4,2019Q4,宁波,Ningbo,Zhejiang,31,YRD,31,42
温州市,长三角地区,,,2020Q4,2019Q4,温州,Wenzhou,Zhejiang,33,YRD,33,32.66666667
湖州市,长三角地区,,,2020Q4,2019Q4,湖州,Huzhou,Zhejiang,35.33333333,YRD,35.33333333,45
嘉兴市,长三角地区,,,2020Q4,2019Q4,嘉兴,Jiaxing,Zhejiang,37.66666667,YRD,37.66666667,48.66666667
绍兴市,长三角地区,0,,2020Q4,2019Q4,绍兴,Shaoxing,Zhejiang,41.33333333,YRD,41.33333333,53
金华市,长三角地区,,,2020Q4,2019Q4,金华,Jinhua,Zhejiang,43.66666667,YRD,43.66666667,33
衢州市,长三角地区,,,2020Q4,2019Q4,衢州,Quzhou,Zhejiang,41,YRD,41,36.66666667
舟山市,长三角地区,,,2020Q4,2019Q4,舟山,Zhoushan,Zhejiang,18.33333333,YRD,18.33333333,30
台州市,长三角地区,,,2020Q4,2019Q4,台州,Taizhou,Zhejiang,30,YRD,30,34
丽水市,长三角地区,,,2020Q4,2019Q4,丽水,Lishui,Zhejiang,31.66666667,YRD,31.66666667,29.66666667
合肥市,长三角地区,46,,2020Q4,2019Q4,合肥,Hefei,Anhui,46.33333333,YRD,46.33333333,69
芜湖市,长三角地区,46,,2020Q4,2019Q4,芜湖,Wuhu,Anhui,46.33333333,YRD,46.33333333,70.33333333
蚌埠市,长三角地区,58,,2020Q4,2019Q4,蚌埠,Bengbu,Anhui,59.33333333,YRD,59.33333333,82.66666667
淮南市,长三角地区,62,,2020Q4,2019Q4,淮南,Huainan,Anhui,65,YRD,65,83.33333333
马鞍山市,长三角地区,47,,2020Q4,2019Q4,马鞍山,Ma'anshan,Anhui,46.66666667,YRD,46.66666667,64.66666667
淮北市,长三角地区,63,,2020Q4,2019Q4,淮北,Huaibei,Anhui,67,YRD,67,88.66666667
铜陵市,长三角地区,48,,2020Q4,2019Q4,铜陵,Tongling,Anhui,48.66666667,YRD,48.66666667,72
安庆市,长三角地区,49,,2020Q4,2019Q4,安庆,Anqing,Anhui,50.66666667,YRD,50.66666667,70
黄山市,长三角地区,,,2020Q4,2019Q4,黄山,Huangshan,Anhui,28.33333333,YRD,28.33333333,32.66666667
滁州市,长三角地区,50,,2020Q4,2019Q4,滁州,Chuzhou,Anhui,51.66666667,YRD,51.66666667,75
阜阳市,长三角地区,66,,2020Q4,2019Q4,阜阳,Fuyang,Anhui,69.33333333,YRD,69.33333333,87
宿州市,长三角地区,62,,2020Q4,2019Q4,宿州,Suzhou,Anhui,64.66666667,YRD,64.66666667,77
六安市,长三角地区,47,,2020Q4,2019Q4,六安,Lu'an,Anhui,48,YRD,48,69.33333333
亳州市,长三角地区,64,,2020Q4,2019Q4,亳州,Bozhou,Anhui,67.66666667,YRD,67.66666667,89.66666667
池州市,长三角地区,0,,2020Q4,2019Q4,池州,Chizhou,Anhui,44.66666667,YRD,44.66666667,66.33333333
宣城市,长三角地区,0,,2020Q4,2019Q4,宣城,Xuancheng,Anhui,44.33333333,YRD,44.33333333,62.33333333
上海市,长三角地区,,,2021Q1,2019Q1,上海,Shanghai,Shanghai,47,YRD,34.33333333,47
南京市,长三角地区,59,,2021Q1,2019Q1,南京,Nanjing,Jiangsu,62,YRD,40.66666667,62
无锡市,长三角地区,53,,2021Q1,2019Q1,无锡,Wuxi,Jiangsu,54.66666667,YRD,41.66666667,54.66666667
徐州市,长三角地区,81,,2021Q1,2019Q1,徐州,Xuzhou,Jiangsu,88.33333333,YRD,64,88.33333333
常州市,长三角地区,63,,2021Q1,2019Q1,常州,Changzhou,Jiangsu,66,YRD,52.33333333,66
苏州市,长三角地区,56,,2021Q1,2019Q1,苏州,Suzhou,Jiangsu,57.33333333,YRD,42.33333333,57.33333333
南通市,长三角地区,52,,2021Q1,2019Q1,南通,Nantong,Jiangsu,53.66666667,YRD,41.33333333,53.66666667
连云港市,长三角地区,62,,2021Q1,2019Q1,连云港,Lianyungang,Jiangsu,66.66666667,YRD,44.66666667,66.66666667
淮安市,长三角地区,63,,2021Q1,2019Q1,淮安,Huai'an,Jiangsu,65.66666667,YRD,56,65.66666667
盐城市,长三角地区,60,,2021Q1,2019Q1,盐城,Yancheng,Jiangsu,63.66666667,YRD,42,63.66666667
扬州市,长三角地区,65,,2021Q1,2019Q1,扬州,Yangzhou,Jiangsu,69,YRD,42.66666667,69
镇江市,长三角地区,64,,2021Q1,2019Q1,镇江,Zhenjiang,Jiangsu,67.33333333,YRD,47.33333333,67.33333333
泰州市,长三角地区,62,,2021Q1,2019Q1,泰州,Taizhou,Jiangsu,63.66666667,YRD,44,63.66666667
宿迁市,长三角地区,69,,2021Q1,2019Q1,宿迁,Suqian,Jiangsu,73.66666667,YRD,58.33333333,73.66666667
杭州市,长三角地区,49,,2021Q1,2019Q1,杭州,Hangzhou,Zhejiang,51,YRD,42.66666667,51
宁波市,长三角地区,,,2021Q1,2019Q1,宁波,Ningbo,Zhejiang,42,YRD,31,42
温州市,长三角地区,,,2021Q1,2019Q1,温州,Wenzhou,Zhejiang,32.66666667,YRD,33,32.66666667
湖州市,长三角地区,,,2021Q1,2019Q1,湖州,Huzhou,Zhejiang,45,YRD,35.33333333,45
嘉兴市,长三角地区,,,2021Q1,2019Q1,嘉兴,Jiaxing,Zhejiang,48.66666667,YRD,37.66666667,48.66666667
绍兴市,长三角地区,51,,2021Q1,2019Q1,绍兴,Shaoxing,Zhejiang,53,YRD,41.33333333,53
金华市,长三角地区,,,2021Q1,2019Q1,金华,Jinhua,Zhejiang,33,YRD,43.66666667,33
衢州市,长三角地区,,,2021Q1,2019Q1,衢州,Quzhou,Zhejiang,36.66666667,YRD,41,36.66666667
舟山市,长三角地区,,,2021Q1,2019Q1,舟山,Zhoushan,Zhejiang,30,YRD,18.33333333,30
台州市,长三角地区,,,2021Q1,2019Q1,台州,Taizhou,Zhejiang,34,YRD,30,34
丽水市,长三角地区,,,2021Q1,2019Q1,丽水,Lishui,Zhejiang,29.66666667,YRD,31.66666667,29.66666667
合肥市,长三角地区,65,,2021Q1,2019Q1,合肥,Hefei,Anhui,69,YRD,46.33333333,69
芜湖市,长三角地区,67,,2021Q1,2019Q1,芜湖,Wuhu,Anhui,70.33333333,YRD,46.33333333,70.33333333
蚌埠市,长三角地区,75,,2021Q1,2019Q1,蚌埠,Bengbu,Anhui,82.66666667,YRD,59.33333333,82.66666667
淮南市,长三角地区,78,,2021Q1,2019Q1,淮南,Huainan,Anhui,83.33333333,YRD,65,83.33333333
马鞍山市,长三角地区,62,,2021Q1,2019Q1,马鞍山,Ma'anshan,Anhui,64.66666667,YRD,46.66666667,64.66666667
淮北市,长三角地区,81,,2021Q1,2019Q1,淮北,Huaibei,Anhui,88.66666667,YRD,67,88.66666667
铜陵市,长三角地区,68,,2021Q1,2019Q1,铜陵,Tongling,Anhui,72,YRD,48.66666667,72
安庆市,长三角地区,65,,2021Q1,2019Q1,安庆,Anqing,Anhui,70,YRD,50.66666667,70
黄山市,长三角地区,,,2021Q1,2019Q1,黄山,Huangshan,Anhui,32.66666667,YRD,28.33333333,32.66666667
滁州市,长三角地区,71,,2021Q1,2019Q1,滁州,Chuzhou,Anhui,75,YRD,51.66666667,75
阜阳市,长三角地区,80,,2021Q1,2019Q1,阜阳,Fuyang,Anhui,87,YRD,69.33333333,87
宿州市,长三角地区,72,,2021Q1,2019Q1,宿州,Suzhou,Anhui,77,YRD,64.66666667,77
六安市,长三角地区,65,,2021Q1,2019Q1,六安,Lu'an,Anhui,69.33333333,YRD,48,69.33333333
亳州市,长三角地区,82,,2021Q1,2019Q1,亳州,Bozhou,Anhui,89.66666667,YRD,67.66666667,89.66666667
池州市,长三角地区,61,,2021Q1,2019Q1,池州,Chizhou,Anhui,66.33333333,YRD,44.66666667,66.33333333
宣城市,长三角地区,60,,2021Q1,2019Q1,宣城,Xuancheng,Anhui,62.33333333,YRD,44.33333333,62.33333333
,京津冀及周边地区,63,,2020Q4,2019Q4,,,,63.21428571,2+26,63.21428571,89.60714286
,汾渭平原,62,,2020Q4,2019Q4,,,,63.63636364,Fenwei,63.63636364,93.81818182
,长三角地区,45,,2020Q4,2019Q4,,,,46.95121951,YRD,46.95121951,60.87804878
,京津冀及周边地区,86,,2021Q1,2019Q1,,,,89.60714286,2+26,63.21428571,89.60714286
,汾渭平原,90,,2021Q1,2019Q1,,,,93.81818182,Fenwei,63.63636364,93.81818182
,长三角地区,58,,2021Q1,2019Q1,,,,60.87804878,YRD,46.95121951,60.87804878
